SAMPLE,Ag,As,Au,Ba,Be,Bi,Br,Ca,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe,Ga,Gd,Ge,Hf,Hg,Ho,I,In,La,Li,Lu,Mg,Mn,Mo,Nb,Nd,Ni,Pb,Pd,Pr,Pt,Rb,Re,Sb,Sc,Se,Sm,Sn,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,U,V,W,Y,Yb,Zn,Zr,Final pH
DESCRIPTION,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppm,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,Unity
S000 132,2.3,89.6,1.1,2680,27.5,1.3,0.81,33.7,5.4,319,1730,48,4.3,691,94.9,47.4,20.6,132.5,16.5,90.7,1.9,9.86,5.8,18.2,0.36,0.5,102,10.1,4.7,76.6,22.5,13.8,1.2,249,703,843,0,51.7,0,371,0,3.6,171,23,69.8,1.2,310,0.11,14.6,0,260,499,0.37,5.8,79.8,102,0.6,536,32.4,560,290,6.7
S000 133,4.4,32.4,1.23,4790,19.9,0.3,0.39,19.3,3.6,570,448,13,1.6,637,105,46.4,26.8,25.4,7.9,114.5,1.3,4.07,0.8,19.1,0.26,0.3,190.5,1.5,4.1,164,12.5,5.7,0.2,392,554,475,0,85.1,0,195.5,0.01,1.2,119,13,99.3,0.2,320,0,17.7,0,209,82,0.28,5.7,54.8,14.1,0.2,592,29.4,240,107,7
S000 134,1.8,5.4,12,8200,0,0,0.51,527,3,62.9,927,3,0.3,1390,224,104.5,74.8,1,2.7,316,1.7,0,0.7,43.7,0.49,0,68.3,2.1,7.8,1000,18.6,0,0,358,1000,9.5,0,47,0,11.5,0.02,0,51,2,171.5,0,6060,0,39,0,0.38,0,0.09,11.1,2.64,2.1,0,1300,54.3,280,2.1,6.4
S000 135,0,0,0.06,5720,1.1,0,0.44,688,5.5,81.7,978,12,0.1,1840,439,305,65.5,16.5,3,294,1.7,0.32,0.3,104,0.17,0,51.2,3.1,28.9,410,30.1,1.5,0,268,821,10.1,0,37.4,0,29.1,0.04,0,65,7,143.5,0,5310,0,55.8,0,0.8,0,0.17,39.4,9.25,30.2,0.1,2470,217,1750,6.2,6.4
S000 136,0.7,7.8,0.06,11200,17.8,1.2,0.38,54.9,7.9,30.6,1895,18,3.4,771,64.5,51.1,4.1,70.9,12.7,22.4,1.6,3.1,1,16.7,0.21,0.5,10.6,12.9,5.2,60.6,28,3,1,29.9,420,368,0,5.3,0,216,0.01,1.1,131,7,11.6,1,1530,0.09,6.4,0,72.7,489,0.83,6.7,30.4,48.5,0.4,387,36.1,740,94,6
S000 137,1.4,77.4,0.64,4190,30.6,1,0.47,16.5,8.3,149,1265,40,8,664,136.5,76.3,17.7,64.7,21.5,77.1,1.8,6.08,2.1,28,0.26,0.6,34.8,20.3,6.6,43.8,26.7,3.3,1.5,135.5,428,824,0,23,0,648,0,2.4,210,14,51.1,1.3,595,0.1,17.9,0,120.5,714,0.83,9.5,53.1,89.1,0.4,636,50.8,170,183.5,6.4
S000 138,1,9.3,0.2,3550,22,1,0.33,34.8,6.7,34.5,887,21,7,736,94.9,78.6,5.8,69.1,14,29.3,1,1.76,0.9,24.6,0.14,1.1,10.7,6.8,8.1,49.3,21,1.6,0.4,36.2,306,372,0,6.2,0,399,0,1.2,246,12,15.8,0.3,903,0,9.4,0,45,161,0.96,10.7,34.8,40.8,0.2,426,60.6,780,55,6
S000 139,0,7.7,0,2890,6.5,3.1,0.39,94,0.5,6.9,1050,22,4.9,53,1.4,2.2,0.1,148.5,16.7,0.9,1,1.93,0.4,0.4,0.08,1.2,3.4,13.4,0.8,81,18.4,1.2,0.9,3.9,243,24.2,0,0.8,0,452,0,0.7,66,11,0.8,0.5,2410,0,0,0,24.1,294,2.22,0.5,6.62,30.9,0.2,8.5,4,70,48,6
S000 140,10,6.8,4.08,8330,0,0,0.47,552,3,109,709,1,0.2,1020,161,58.1,63.7,3.5,2.8,244,1.8,0.3,1.1,27.4,0.36,0,67.6,2.7,3.8,291,22.9,10.9,0,333,1990,50.6,0,44.1,0,41.2,0.01,0,11,5,158.5,0,5630,0,30.3,0,3.95,5,0.21,5.6,18.7,8.9,0.1,806,26.6,350,8.8,7.6
S000 141,2.3,30.6,5.25,4790,39.6,0.7,0.88,84.5,10.5,267,1765,10,2.8,2480,480,333,54.2,67.8,7.7,258,2.3,4.77,2.7,112.5,0.32,0.7,66.9,4.6,34.6,118,27.6,2.5,0.2,337,2490,1250,0,54.2,0,423,0.04,1.3,325,15,149,0.2,954,0,57.6,0,148.5,97,0.4,43.4,152.5,17.5,0,2800,247,1170,151,6
S000 142,9.1,32.9,1.45,3050,36.6,0.7,0.71,17.1,8.1,862,2150,19,3.9,975,227,114.5,51.3,64.2,13,224,2.6,5.97,2.7,44.1,0.4,0.5,225,4.6,10.3,93.5,34.5,4.7,0.4,626,965,1125,0.08,128.5,0,497,0,1.6,194,13,179.5,0.5,169,0,35.9,0,310,177,0.41,14.2,140,26.8,0.6,1290,74.5,400,187,6.7
S000 143,4.2,122.5,0.41,3180,30.2,1,0.83,23.9,4.3,217,1535,51,4.3,441,76,42.9,16.7,99.9,23.2,68,2.6,8.04,1.9,15.7,0.36,0.7,62.1,22.8,4.5,62.5,28.7,6.1,2,165.5,734,914,0,31.6,0,436,0,2.9,191,19,53.5,1.5,546,0.14,11.6,0,236,1035,0.5,5.6,60.5,114.5,0.8,420,31.1,320,234,6.4
S000 144,1.3,1.8,0.33,10200,2.8,0,0.44,281,13.5,84.3,1795,4,1.1,1690,225,142.5,35.2,12.7,3.2,153.5,1.2,0.18,0.8,50.4,0.13,0.1,33.4,5.9,11.4,324,40.1,1.3,0.1,166.5,3600,46,0,25.7,0,254,0.02,0,57,9,79.2,0,4510,0,28.9,0,3.39,17,0.47,17.1,18.1,15,0,1255,86.3,1210,8.6,6.7
S000 145,0.4,0.6,0.12,14200,0.3,0,0.37,680,5.3,53.3,1055,1,0.3,1490,251,147,46,5.6,2.5,209,1.8,0.14,1,54.9,0.19,0,32.2,1.3,10.9,369,31.7,0.7,0,192.5,1690,14.2,0,24.7,0,37.5,0.01,0,23,6,102.5,0,6180,0,35.5,0,0.37,10,0.13,17,3.84,9.3,0.1,1420,84.5,450,3,6.7
S000 146,0.3,6.6,0.02,7620,21.6,1.6,0.37,269,16.4,20.6,2200,5,1.1,349,70.8,78.5,3.8,67.1,7,20.7,1.4,1.32,1.4,21.4,0.13,0.4,5.9,6.1,10.4,117.5,38.7,2.8,0.3,24.2,526,699,0,3.8,0,108,0.01,0,76,7,9.9,0.2,5050,0,6.2,0,48,86,0.78,11.6,31.7,21.7,0.1,436,69.7,1030,37.5,6
S000 147,0.6,6.6,0.08,5280,23.4,1.2,0.12,110.5,8.8,30.8,2180,7,1.4,407,74.5,53,6.1,81,8.6,30.1,1.3,1.24,0.6,17.6,0.09,0.5,7.3,5.5,5.6,58.5,24.6,1.6,0.2,33.4,454,519,0,5.3,0,193,0,0.5,99,5,15.7,0.3,2590,0,8,0,39.5,76,0.25,6.9,22.1,22.4,0.1,373,40.7,1110,33.9,6
S000 148,0.9,3.9,0.04,6420,13.1,1.7,0.3,333,9.1,18,1120,5,4.3,790,63.7,80.4,2.5,88.5,9.6,13,0.5,1.19,1,20.5,0.09,1.3,4.6,13,10.4,203,28.2,1.6,0.3,14.8,563,182,0,2.5,0,349,0,0.5,222,8,6.7,0,6950,0,5,0,11,126,1.1,12.2,7.33,27,0.1,272,76.4,1480,32.2,6
S000 149,0.9,3.2,0,2080,7.2,1.2,0.45,36.9,4,11.7,615,10,6.7,286,34.8,25.4,1.5,86.5,11.8,8,0.3,1.51,0.7,8.8,0.09,1.4,4.3,3.3,1.8,65.6,9.54,0.6,0.4,9.3,286,654,0,1.9,0,448,0,0.5,106,11,3.7,0,1010,0,3,0,21.7,115,0.37,3.1,8.8,14.7,0.1,128,15.6,150,38.7,6
S000 150,8.9,4,0.47,3260,11.3,0,0.69,137,5.3,352,999,4,2.1,1900,393,228,77.6,30.7,5.2,324,1.3,0.63,0.5,84.1,0.4,0.2,135,5,18.8,180.5,51.7,1.5,0.1,501,4340,249,0,90,0,380,0.02,0.7,267,17,201,0,1790,0,57.4,0,47.3,62,0.34,28,45.3,7,0.1,1935,146.5,400,23.2,6.4
S000 151,14.2,52.1,16.8,3800,0.6,0,0.44,221,18.5,231,621,2,0.1,2390,169.5,76.3,51.1,6.1,2.5,225,1.1,0.89,0.8,31.9,0.57,0,80.5,3.5,5.9,597,19.15,11.2,0,347,1310,78,0,53.1,0,27.2,0,0.8,24,7,146,0.2,2790,0,30.2,0,9.92,0,0.06,8.2,76.6,1.8,0.1,1005,39.7,560,28.6,7.3
S000 152,2.2,28.6,0.31,2880,19.5,0.5,0.82,176,9.5,388,1470,12,2.1,388,152,79.4,32.4,74.6,7.3,145,1.2,3.98,1.4,30.6,0.18,0.3,108.5,9.5,6.1,99,53.8,1.9,0.4,301,1060,693,0,61.4,0,378,0,0.9,128,8,99.3,0.2,2760,0,24.2,0,135,172,0.37,9.4,57.5,19.1,0.1,818,47.7,930,117,6.7
S000 153,3.3,4.6,0.26,8870,2.5,0,0.58,548,25.7,82.6,713,2,2.7,1590,202,118.5,33.6,4.6,2.3,159,0.8,0.22,2.2,44.5,0.2,0,33,4.7,8.3,234,37.5,1.9,0.1,156,2550,46.2,0,23.9,0,462,0.01,0.5,33,15,77.4,0,8040,0,28.8,0,2.31,41,0.85,13.5,31.6,23.4,0,1170,66.2,1870,6.7,6.7
S000 154,2.1,7.6,0.99,5690,106,0.3,1.16,45.5,19.6,1265,3610,4,4,1770,1685,1315,196.5,46.1,12.3,1010,3.8,1.99,1.3,411,0.43,0.2,302,12.3,128.5,226,47.4,1.7,0.1,1405,2730,607,0,248,0,301,0.04,0.5,348,7,583,0,1090,0,208,0,132,60,1.65,163,402,8.7,0,8360,961,2250,67.2,6.4
S000 155,2.8,6,0.08,7130,21,1,0.27,107,17.8,51.5,1265,7,2.8,2160,272,187.5,18,56.1,11.2,93.8,0.8,1.28,1.3,65.6,0.08,0.9,13.2,11.2,14.8,122,25.3,1.6,0.2,84.5,911,603,0,12.2,0,326,0,1,164,14,43.3,0.3,3100,0,28.5,0,30.7,128,1.17,22.7,28,24,0.1,1330,116.5,1510,40.9,6
S000 156,1,3.1,0.05,14800,18.8,0.8,0.39,286,15.6,28.5,635,7,4.1,2450,169.5,147,8.6,59.5,9,45.7,0.6,0.86,1,46.7,0.12,0.7,7.9,12.3,12.8,173.5,25.3,0.8,0.2,40.3,770,169.5,0,6.1,0,251,0,0,176,10,19.8,0.2,5820,0,15.5,0,17,102,1.11,19,14.25,27.6,0.1,856,99.7,1830,27,6
S000 157,0.2,7.5,0.02,3100,9.3,2.3,0.33,64.9,5.4,10.7,1305,11,2.9,274,14.5,15.3,0.6,122,14.7,3.6,0.6,1.22,0.6,4.4,0.09,0.8,3.7,8.1,1.7,57.9,26.5,1.7,0.6,6,355,283,0,1.3,0,56.4,0,0.6,81,8,2,0.5,1720,0,1.2,0,19.25,244,0.65,2.1,9.35,30.7,0.2,62.9,13.1,970,33.7,6
S000 158,0.2,13.9,0.03,2180,8.1,3.6,0.65,62,0.7,20.9,272,31,4.9,43,3.1,3.2,0.5,178,17.1,2.4,0.8,3,0.7,0.8,0.11,0.6,9.8,13.6,0.8,65.1,6.15,2.7,2,9.6,175,102,0,2.6,0,417,0,1.1,38,13,2.5,0.8,1810,0.14,0.5,0,37.6,574,0.58,0.6,11.5,63.7,0.4,15.1,4.7,170,76.7,6
S000 159,0.6,2.2,0.04,8630,1,0,0.58,645,2.2,169,668,12,0.2,982,381,204,79.4,4.2,2.7,330,1.1,0.33,0.7,78.4,0.1,0,85,1.4,13.6,441,22.4,0.8,0,344,2030,59.6,0,52.4,0,19.4,0.01,0,57,8,168.5,0.2,4530,0,56.2,0,1.07,20,0.06,23.1,9.98,5.9,0.1,1940,115,610,5.9,6.4
